#lemma	stem
wotkaz	wotkaz
tematika	tematik
licenca	licenc
awtor	awtor
edit	edit
překupc	překupc
dynastija	dynastij
zamóženje	zamóženj
wobchod	wobchod
wočakowanje	wočakowanj
zdaće	zdać
wiki	wiki
bazar	bazar
dokument	dokument
biblioteka	bibliotek
zarjadnišćo	zarjadnišć
wobstaranje	wobstaranj
zadźěłanje	zadźěłanj
archiwizowanje	archiwizowanj
spřistupnjenje	spřistupnjenj
literatura	literatur
wozjewjenje	wozjewjenj
wotrjad	wotrjad
předewzaće	předewzać
wužiwanje	wužiwanj
zapis	zapis
kniha	knih
přizjewjenje	přizjewjenj
knihownja	knihownj
wobstatk	wobstatk
čitarnja	čitarnj
instutut	instutut
rumnosć	rumnosć
wupožčenje	wupožčenj
postajenje	postajenj
zasada	zasad
njedźela	njedźel
nowiny	nowin
medija	medij
žórło	žórł
wotběh	wotběh
podlěšenje	podlěšenj
překročenje	překročenj
wupožčer	wupožčer
napominanje	napominanj
wuspěch	wuspěch
žadanje	žadanj
wobmjezowanje	wobmjezowanj
časopis	časopis
dispozicija	dispozicij
periodikum	periodikum
lětopis	lětopis
wuwzaće	wuwzać
eksemplar	eksemplar
drohoćinka	drohoćink
nawod	nawod
našmórnjenje	našmórnjenj
škoda	škod
zhubjenje	zhubjenj
bibliografija	bibliografij
kopěrak	kopěrak
prawo	praw
zamołwitosć	zamołwitosć
zranjenje	zranjenj
kopija	kopij
pomoc	pomoc
scanner	scanner
reprodukcija	reprodukcij
požćonk	požćonk
požčonk	požčonk
wotrjadnik	wotrjadnik
kolega	koleg
posłužba	posłužb
popłatk	popłatk
płaćiwosć	płaćiwosć
pismo	pism
zwuk	zwuk
sada	sad
narod	narod
epos	epos
sumerišćina	sumerišćin
akkadšćina	akkadšćin
zasydlowanje	zasydlowanj
rozšěrjowanje	rozšěrjowanj
kmjen	kmjen
měsačk	měsačk
aramejšćina	aramejšćin
jubilej	jubilej
słowjanski	słowjanski
kontakt	kontakt
klik	klik
wopisanje	wopisanj
formalnosć	formalnosć
nowy	now
wikipedija	wikipedij
dźěło	dźěł
encyklopedija	encyklopedij
knježerstwo	knježerstw
sejm	sejm
monarch	monarch
załožk	załožk
templ	templ
srjedźišćo	srjedźišć
hórka	hórk
přechad	přechad
zdźěla	zdźěl
embryo	embry
stadij	stadij
znamješko	znamješk
pisak	pisak
tafla	tafl
linija	linij
kašćik	kašćik
kónčk	kónčk
kusk	kusk
dokonjanosć	dokonjanosć
starowysokoněmske	starowysokoněmsk
pochad	pochad
fakt	fakt
rozměr	rozměr
wino	win
dótknjenje	dótknjenj
štwórćina	štwórćin
kopica	kopic
ocean	ocean
cirkulacija	cirkulacij
powětr	powětr
wjedro	wjedr
nahlad	nahlad
alga	alg
studija	studij
propagacija	propagacij
silikat	silikat
mezopotamiska	mezopotamisk
zmysl	zmysl
runina	runin
technologija	technologij
powodźenje	powodźenj
polo	pol
wjerch	wjerch
kotryž	kotryž
ruka	ruk
kanalizowanje	kanalizowanj
rólnistwo	rólnistw
etat	etat
organizacija	organizacij
aparat	aparat
njewólnik	njewólnik
naturalija	naturalij
swójstwo	swójstw
najenk	najenk
wukon	wukon
slěbro	slěbr
dataja	dataj
šlešćina	šlešćin
dialekt	dialekt
linguistik	linguistik
ratar	ratar
produkt	produkt
žiwidło	žiwidł
tekstilija	tekstilij
měšnik	měšnik
wliw	wliw
tribut	tribut
dawk	dawk
ležownosć	ležownosć
wobsydstwo	wobsydstw
lěpšina	lěpšin
póda	pód
zelenina	zelenin
łočica	łočic
pěst	pěst
pěstk	pěstk
internet	internet
ministerstwo	ministerstw
wóska	wósk
ekliptika	ekliptik
nuhel	nuhel
fenomen	fenomen
počas	počas
perioda	period
klimat	klimat
hódnota	hódnot
rytmus	rytmus
nalěćo	nalěć
dohlad	dohlad
rozdźěl	rozdźěl
zarjadowanje	zarjadowanj
inteligenca	inteligenc
termin	termin
póndźela	póndźel
tema	tem
diskusija	diskusij
zajimc	zajimc
durje	durj
wopytowar	wopytowar
rozprawa	rozpraw
swojoraznosć	swojoraznosć
serbšćina	serbšćin
čěšćina	čěšćin
pólšćina	pólšćin
słowakšćina	słowakšćin
wuraz	wuraz
situacija	situacij
idiom	idiom
režiser	režiser
widejoklip	widejoklip
recitacija	recitacij
baseń	baseń
nahrawanje	nahrawanj
woznamjenjenje	woznamjenjenj
zjeće	zjeć
kontinent	kontinent
definicija	definicij
plata	plat
masa	mas
nastupanje	nastupanj
kupa	kup
přestrjeń	přestrjeń
kilometer	kilometer
redakcija	redakcij
ćišć	ćišć
bibliotekar	bibliotekar
slawist	slawist
nakładnistwo	nakładnistw
publikacija	publikacij
poćah	poćah
rum	rum
wosobina	wosobin
přiroda	přirod
brošurka	brošurk
přinošk	přinošk
zběrnik	zběrnik
tydźenik	tydźenik
dźenik	dźenik
recensija	recensij
wersija	wersij
přistup	přistup
wobsah	wobsah
wuběrk	wuběrk
wobnowjer	wobnowjer
oktober	oktober
klasikar	klasikar
sorabistika	sorabistik
hladanje	hladanj
ćišinski	ćišinski
předstajenje	předstajenj
wujasnjenje	wujasnjenj
moderna	modern
fundus	fundus
přepytownje	přepytownj
interpretacija	interpretacij
cyłk	cyłk
rysowanka	rysowank
moler	moler
mišter	mišter
stoł	stoł
format	format
administrator	administrator
zastupnik	zastupnik
serwer	serwer
škit	škit
dobro	dobr
tekst	tekst
molekul	molekul
teorija	teorij
typ	typ
wodźik	wodźik
por	por
elektron	elektron
róžk	róžk
tetraedr	tetraedr
potrjeba	potrjeb
elekron	elekron
pikometer	pikometer
prezident	prezident
pozicija	pozicij
srjeda	srjed
předsudk	předsudk
stereotyp	stereotyp
doktorandka	doktorandk
insitut	insitut
wuslědk	wuslědk
disertacija	disertacij
započatk	započatk
alfabet	alfabet
rěčnik	rěčnik
pismik	pismik
gramatikar	gramatikar
sanskrit	sanskrit
stopjeń	stopjeń
podlěšenski	podlěšenski
róst	róst
korjeń	korjeń
hesło	hesł
połwokal	połwokal
likwid	likwid
nazal	nazal
subkontinent	subkontinent
monsun	monsun
mej	mej
přibrjoh	přibrjoh
juhozapad	juhozapad
połkupa	połkup
směr	směr
němčina	němčin
wokołk	wokołk
morchwja	morchwj
sewjerozapad	sewjerozapad
sewjer	sewjer
zapad	zapad
pobrjóh	pobrjóh
pokrok	pokrok
bydlišćo	bydlišć
zbytk	zbytk
silo	sil
činitosć	činitosć
stil	stil
podobnosć	podobnosć
kult	kult
dokład	dokład
keramika	keramik
motiw	motiw
technika	technik
hlina	hlin
tačel	tačel
muka	muk
přidawk	přidawk
chlěbpječenje	chlěbpječenj
substanca	substanc
rozpušćadło	rozpušćadł
napjatosć	napjatosć
hustosć	hustosć
atmosfera	atmosfer
absorbowadło	absorbowadł
promjenjenje	promjenjenj
ćopłota	ćopłot
klima	klim
antologija	antologij
krótkopowědančko	krótkopowědančk
złoto	złot
zak	zak
sewjerowuchod	sewjerowuchod
nižina	nižin
kromja	kromj
wotwalenje	wotwalenj
september	september
dešć	dešć
mróčel	mróčel
chronologija	chronologij
eponym	eponym
chronika	chronik
synchronizm	synchronizm
podawk	podawk
referenca	referenc
myt	myt
protyka	protyk
přir	přir
kalender	kalender
ličenje	ličenj
citat	citat
dobywanje	dobywanj
rozmach	rozmach
boh	boh
zemjedźěl	zemjedźěl
federacija	federacij
kategorija	kategorij
zarodk	zarodk
městnosć	městnosć
žito	žit
hałza	hałz
zhotowjenje	zhotowjenj
smoła	smoł
kołmaz	kołmaz
namjet	namjet
biografija	biografij
achejmenid	achejmenid
proklamacija	proklamacij
cylinder	cylinder
wjednik	wjednik
sel	sel
cokor	cokor
skutkowanje	skutkowanj
matabolizm	matabolizm
wolij	wolij
membrana	membran
wěc	wěc
architektura	architektur
namrěwstwo	namrěwstw
přełožk	přełožk
tydźeń	tydźeń
assyričan	assyričan
detail	detail
kamuška	kamušk
wuwiće	wuwić
słužba	słužb
pisar	pisar
wosoba	wosob
towaršnosć	towaršnosć
wjednistwo	wjednistw
nacionalsocialist	nacionalsocialist
diktatura	diktatur
přećiwnik	přećiwnik
politika	politik
předmjet	předmjet
metoda	metod
rozrjadowanje	rozrjadowanj
nastaće	nastać
woznam	woznam
huba	hub
chlěb	chlěb
prašenje	prašenj
korčmja	korčmj
bjesada	bjesad
směrnica	směrnic
prawidło	prawidł
pokiw	pokiw
princ	princ
spjećowanje	spjećowanj
twarjenje	twarjenj
kanal	kanal
cyrkej	cyrkej
zahroda	zahrod
rostlinarnja	rostlinarnj
napismo	napism
wobhladowak	wobhladowak
karta	kart
stupjenje	stupjenj
babylon	babylon
wobkedźbowanje	wobkedźbowanj
zaćmiće	zaćmić
wjetšina	wjetšin
juh	juh
syć	syć
zwjazanje	zwjazanj
cil	cil
ličak	ličak
wuměna	wuměn
protokol	protokol
brjóh	brjóh
předměsto	předměst
přewrót	přewrót
grjekšćina	grjekšćin
łaćonšćina	łaćonšćin
srjedźowěk	srjedźowěk
konsonant	konsonant
prapismo	prapism
papyrus	papyrus
pergament	pergament
wikisłownik	wikisłownik
rozpušćomnosć	rozpušćomnosć
pohódnoćenje	pohódnoćenj
wulkosć	wulkosć
nastajenje	nastajenj
měnjenje	měnjenj
symjeńc	symjeńc
debata	debat
wašnje	wašnj
ryba	ryb
rjapnik	rjapnik
kladistika	kladistik
pazork	pazork
łopjeno	łopjen
zawiječk	zawiječk
šěrokosć	šěrokosć
wobrazk	wobrazk
piksel	piksel
wysokosć	wysokosć
proporcija	proporcij
bok	bok
japanšćina	japanšćin
chinšćina	chinšćin
francošćina	francošćin
jendźelšćina	jendźelšćin
hindišćina	hindišćin
šwedšćina	šwedšćin
italšćina	italšćin
španšćina	španšćin
napoj	napoj
droždźe	droždź
brěčka	brěčk
jahoda	jahod
pakić	pakić
prut	prut
winowc	winowc
šmica	šmic
hybrid	hybrid
připućowanje	připućowanj
wuprawa	wupraw
gutejčan	gutejčan
cikurat	cikurat
čitanje	čitanj
mišterstwo	mišterstw
kopańca	kopańc
samotar	samotar
wjelk	wjelk
wuměłc	wuměłc
přełožowar	přełožowar
rěčka	rěčk
niwow	niwow
jězor	jězor
hudźba	hudźb
kamera	kamer
orbit	orbit
planet	planet
słónco	słónc
tři	tři
kić	kić
rozpor	rozpor
hammurabi	hammurabi
zakoń	zakoń
paragraf	paragraf
aspekt	aspekt
rozsudźenje	rozsudźenj
krutosć	krutosć
historikar	historikar
spisowaćel	spisowaćel
španišćina	španišćin
kastilšćina	kastilšćin
pućowanje	pućowanj
přećelstwo	přećelstw
wokruh	wokruh
wusyłanje	wusyłanj
podkast	podkast
center	center
wobwod	wobwod
zwisk	zwisk
susod	susod
oxygen	oxygen
kisilina	kisilin
apofonija	apofonij
morf	morf
morphem	morphem
rěčewěda	rěčewěd
poznamjenjenje	poznamjenjenj
fleksija	fleksij
prarěč	prarěč
wuskutk	wuskutk
dalokowikowanje	dalokowikowanj
delta	delt
twora	twor
lódź	lódź
karawana	karawan
wosoł	wosoł
wjelbłud	wjelbłud
měra	měr
kóń	kóń
wóz	wóz
dróha	dróh
baza	baz
diferenca	diferenc
efekt	efekt
narunanje	narunanj
reakcija	reakcij
ćěłoškódny	ćěłoškódn
ćěło	ćěł
wustajeńca	wustajeńc
muzej	muzej
opcija	opcij
rezultat	rezultat
wobjim	wobjim
dychanje	dychanj
jednobańkowc	jednobańkowc
smažnik	smažnik
rewolucionar	rewolucionar
rozpačenje	rozpačenj
swětło	swětł
fotosynteza	fotosyntez
genus	genus
numerus	numerus
pronomen	pronomen
namakanki	namakanki
koleso	koles
monokotyledon	monokotyledon
eudikotyledon	eudikotyledon
přiwuznosć	přiwuznosć
kladogram	kladogram
moch	moch
zańdźenosć	zańdźenosć
přiwuznistwo	přiwuznistw
wotrys	wotrys
serb	serb
wyšnosć	wyšnosć
rozswětlerstwo	rozswětlerstw
romantika	romantik
wozrodźenje	wozrodźenj
wědomje	wědomj
fenylpropanoid	fenylpropanoid
terpen	terpen
idioblast	idioblast
łopješko	łopješk
přirjadowanje	přirjadowanj
kružk	kružk
próšk	próšk
bencylisochinolinalkaloid	bencylisochinolinalkaloid
neolignan	neolignan
kapka	kapk
škleńca	škleńc
transpiracija	transpiracij
germanšćina	germanšćin
grupa	grup
particip	particip
karotin	karotin
cona	con
wjes	wjes
gmejna	gmejn
zjednoćenstwo	zjednoćenstw
wokrjes	wokrjes
wjeska	wjesk
wobsydlenje	wobsydlenj
ratarstwo	ratarstw
cyhel	cyhel
piktogram	piktogram
spóznaće	spóznać
podswójba	podswójb
nomad	nomad
bakterija	bakterij
mikroorganizm	mikroorganizm
wutk	wutk
koordinacija	koordinacij
krok	krok
wuwiwanje	wuwiwanj
knihiwjedstwo	knihiwjedstw
rjek	rjek
čłowjestwo	čłowjestw
prowinca	prowinc
starowěk	starowěk
unija	unij
zastupjerka	zastupjerk
hibanje	hibanj
internacionalistka	internacionalistk
předsydka	předsydk
jednotka	jednotk
přibrjóh	přibrjóh
dno	dn
smuha	smuh
kruh	kruh
wichor	wichor
mróz	mróz
pěsk	pěsk
praworóžk	praworóžk
thumb	thumb
zrěčenje	zrěčenj
protektorat	protektorat
eukaryot	eukaryot
embryofyt	embryofyt
poražka	poražk
wadźeńca	wadźeńc
žadosć	žadosć
wjeršk	wjeršk
politikar	politikar
čisło	čisł
klasa	klas
deklinacija	deklinacij
kamjeń	kamjeń
łušćina	łušćin
hydrat	hydrat
wopřijeće	wopřijeć
serwjernogermanšćina	serwjernogermanšćin
přezwuk	přezwuk
złóžka	złóžk
zjaw	zjaw
